architecture,num_params,test_mse,test_rmse,test_cos,test_top3,test_top5
"[64, 32]",20000,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
"[128, 64]",44096,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
"[256, 128]",104576,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
"[512, 256]",274688,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
"[256, 256, 128]",170368,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
"[512, 256, 128]",307584,0.1406257915517652,0.3750010554008684,0.6451603976857059,0.0,0.006543075245365322
