Model,Test MSE,Test RMSE,CosSim,Top-3 Acc,Top-5 Acc
Ridge Regression,0.035156397321526825,0.1875003928569933,0.6451605834297449,0.9989094874591058,0.9989094874591058
Mean Baseline,0.001030922809066448,0.03210798668659323,0.9873927822476829,0.9978189749182116,0.9978189749182116
