shift_multiplier,ridge_test_mse,ridge_test_rmse,ridge_test_cos,ridge_test_top3,ridge_test_top5
0.5,0.035156397321526825,0.1875003928569933,0.6451605834297449,0.9989094874591058,0.9989094874591058
0.75,0.0791018939734391,0.2812505892854966,0.6451605834296864,0.366412213740458,0.8658669574700109
1.0,0.1406255892861073,0.3750007857139866,0.6451605834297449,0.0,0.006543075245365322
1.25,0.21972748325955183,0.46875098214249306,0.6451605834296789,0.0,0.0
1.5,0.3162088221781645,0.5623244812189528,0.6444941606224385,0.0,0.0
