Model,MSE,RMSE,CosSim
Mean-prediction baseline,0.004123691236265792,0.1698994957433969,0.9873927822476829
Ridge (Closed-Form),0.0005138502681868458,0.05997459359852238,0.998425486435809
Neural Network (ANN),0.0003672440675350738,0.05070215451778668,0.9988974234713053
K-Means (K=15),0.002684988203696209,0.1370945565143761,0.9917671116925824
